OrderID,OrderDate,CustomerID,ProductID,ProductName,Category,UnitPrice,Quantity,Country,LineAmount
O00008,2025-04-13,C179,P017,Pressure Cooker,Home & Kitchen,2132.53,3,UK,6397.59
O00009,2025-01-08,C118,P024,Dumbbells 5kg,Sports,1226.61,1,UK,1226.61
O00009,2025-01-08,C118,P007,Jeans,Fashion,1509.89,3,India,4529.67
O00009,2025-01-08,C118,P025,Badminton Racket,Sports,864.2,2,India,1728.4
O00009,2025-01-08,C118,P022,Football,Sports,879.91,3,USA,2639.73
O00010,2025-03-19,C028,P008,Sneakers,Fashion,2408.45,3,Canada,7225.349999999999
O00010,2025-03-19,C028,P016,Mixer Grinder,Home & Kitchen,3467.45,1,Canada,3467.45
O00011,2025-03-09,C025,P011,Rice 5kg,Groceries,364.3,2,India,728.6
O00011,2025-03-09,C025,P014,Sugar 1kg,Groceries,53.09,1,Canada,53.09
O00012,2025-11-27,C094,P021,Cricket Bat,Sports,1598.14,1,USA,1598.14
O00013,2025-11-20,C118,P021,Cricket Bat,Sports,1444.77,2,Australia,2889.54
O00013,2025-11-20,C118,P010,Formal Shirt,Fashion,1276.84,1,UK,1276.84
O00013,2025-11-20,C118,P009,Jacket,Fashion,3062.21,3,UK,9186.630000000001
O00014,2025-04-05,C094,P023,Yoga Mat,Sports,734.85,3,USA,2204.55
O00015,2025-05-12,C062,P024,Dumbbells 5kg,Sports,1271.5,3,USA,3814.5
O00016,2025-01-15,C192,P015,Tea 500g,Groceries,225.05,1,Canada,225.05
O00016,2025-01-15,C192,P012,Wheat Flour 5kg,Groceries,338.56,1,UK,338.56
O00016,2025-01-15,C192,P003,Headphones,Electronics,2587.07,3,USA,7761.210000000001
O00016,2025-01-15,C192,P008,Sneakers,Fashion,2599.64,3,Canada,7798.92
O00016,2025-01-15,C192,P023,Yoga Mat,Sports,765.7,3,USA,2297.1000000000004
O00017,2025-12-29,C046,P019,Bedsheet,Home & Kitchen,981.14,2,UK,1962.28
O00017,2025-12-29,C046,P017,Pressure Cooker,Home & Kitchen,2130.53,3,Australia,6391.59
O00017,2025-12-29,C046,P003,Headphones,Electronics,2437.07,1,Canada,2437.07
O00017,2025-12-29,C046,P006,T-Shirt,Fashion,752.94,2,India,1505.88
O00018,2025-02-24,C063,P012,Wheat Flour 5kg,Groceries,310.76,3,India,932.28
O00018,2025-02-24,C063,P016,Mixer Grinder,Home & Kitchen,3119.45,3,Australia,9358.349999999999
O00018,2025-02-24,C063,P005,Smartwatch,Electronics,7030.51,1,UK,7030.51
O00019,2025-06-03,C150,P019,Bedsheet,Home & Kitchen,863.87,3,UK,2591.61
O00019,2025-06-03,C150,P002,Laptop,Electronics,56603.09,3,Canada,169809.27
O00019,2025-06-03,C150,P004,Bluetooth Speaker,Electronics,3535.4,1,UK,3535.4
O00019,2025-06-03,C150,P012,Wheat Flour 5kg,Groceries,308.94,3,Australia,926.8199999999999
O00020,2025-12-25,C055,P004,Bluetooth Speaker,Electronics,3703.43,3,UK,11110.289999999999
O00020,2025-12-25,C055,P021,Cricket Bat,Sports,1560.72,2,UK,3121.44
O00020,2025-12-25,C055,P024,Dumbbells 5kg,Sports,1165.39,1,USA,1165.39
O00021,2025-11-26,C007,P006,T-Shirt,Fashion,703.09,2,Australia,1406.18
O00022,2025-12-21,C172,P011,Rice 5kg,Groceries,368.79,1,Australia,368.79
O00022,2025-12-21,C172,P001,Smartphone,Electronics,19320.98,3,Australia,57962.94
O00022,2025-12-21,C172,P005,Smartwatch,Electronics,7255.34,2,USA,14510.68
O00022,2025-12-21,C172,P019,Bedsheet,Home & Kitchen,909.71,1,USA,909.71
O00023,2025-03-28,C076,P017,Pressure Cooker,Home & Kitchen,2218.47,1,UK,2218.47
O00023,2025-03-28,C076,P011,Rice 5kg,Groceries,370.38,1,UK,370.38
O00023,2025-03-28,C076,P009,Jacket,Fashion,3064.22,2,Australia,6128.44
O00023,2025-03-28,C076,P004,Bluetooth Speaker,Electronics,3466.7,1,Canada,3466.7
O00023,2025-03-28,C076,P019,Bedsheet,Home & Kitchen,935.34,3,UK,2806.02
O00024,2025-12-31,C081,P018,Dinner Set,Home & Kitchen,2907.9,2,UK,5815.8
O00024,2025-12-31,C081,P012,Wheat Flour 5kg,Groceries,308.4,1,UK,308.4
O00024,2025-12-31,C081,P015,Tea 500g,Groceries,213.52,1,USA,213.52
O00025,2025-11-07,C057,P004,Bluetooth Speaker,Electronics,3805.63,2,Australia,7611.26
O00026,2025-05-17,C007,P013,Cooking Oil 1L,Groceries,169.71,1,India,169.71
O00026,2025-05-17,C007,P025,Badminton Racket,Sports,833.9,1,USA,833.9
O00026,2025-05-17,C007,P009,Jacket,Fashion,3057.87,3,USA,9173.61
O00027,2025-09-08,C158,P025,Badminton Racket,Sports,862.34,2,USA,1724.68
O00027,2025-09-08,C158,P015,Tea 500g,Groceries,228.44,2,India,456.88
O00027,2025-09-08,C158,P002,Laptop,Electronics,60398.71,1,India,60398.71
O00027,2025-09-08,C158,P011,Rice 5kg,Groceries,352.68,3,Canada,1058.04
O00027,2025-09-08,C158,P023,Yoga Mat,Sports,764.75,3,Australia,2294.25
O00028,2025-07-17,C171,P021,Cricket Bat,Sports,1541.61,1,Canada,1541.61
O00028,2025-07-17,C171,P012,Wheat Flour 5kg,Groceries,329.2,2,UK,658.4
O00028,2025-07-17,C171,P015,Tea 500g,Groceries,226.0,2,USA,452.0
O00029,2025-05-25,C062,P024,Dumbbells 5kg,Sports,1155.66,3,Canada,3466.9800000000005
O00029,2025-05-25,C062,P007,Jeans,Fashion,1426.14,3,UK,4278.42
O00029,2025-05-25,C062,P018,Dinner Set,Home & Kitchen,2680.49,1,USA,2680.49
O00030,2025-02-06,C198,P014,Sugar 1kg,Groceries,54.22,3,Australia,162.66
O00030,2025-02-06,C198,P007,Jeans,Fashion,1448.81,2,UK,2897.62
O00030,2025-02-06,C198,P010,Formal Shirt,Fashion,1174.06,2,Australia,2348.12
O00030,2025-02-06,C198,P023,Yoga Mat,Sports,765.94,3,India,2297.82
O00031,2025-01-23,C031,P006,T-Shirt,Fashion,694.75,2,USA,1389.5
O00031,2025-01-23,C031,P003,Headphones,Electronics,2736.12,1,Canada,2736.12
O00032,2025-12-01,C060,P009,Jacket,Fashion,3022.63,1,Australia,3022.63
O00032,2025-12-01,C060,P014,Sugar 1kg,Groceries,59.03,3,UK,177.09
O00032,2025-12-01,C060,P003,Headphones,Electronics,2631.24,3,USA,7893.719999999999
O00032,2025-12-01,C060,P011,Rice 5kg,Groceries,346.87,2,Australia,693.74
O00032,2025-12-01,C060,P023,Yoga Mat,Sports,675.73,1,India,675.73
O00033,2025-09-28,C039,P010,Formal Shirt,Fashion,1181.39,2,Australia,2362.78
O00033,2025-09-28,C039,P023,Yoga Mat,Sports,668.27,3,India,2004.81
O00033,2025-09-28,C039,P007,Jeans,Fashion,1619.48,2,UK,3238.96
O00033,2025-09-28,C039,P009,Jacket,Fashion,2941.67,2,Australia,5883.34
O00033,2025-09-28,C039,P016,Mixer Grinder,Home & Kitchen,3113.76,1,UK,3113.76
O00034,2025-02-19,C174,P010,Formal Shirt,Fashion,1317.18,3,India,3951.54
O00034,2025-02-19,C174,P022,Football,Sports,864.78,1,USA,864.78
O00034,2025-02-19,C174,P002,Laptop,Electronics,60291.27,2,UK,120582.54
O00034,2025-02-19,C174,P016,Mixer Grinder,Home & Kitchen,3403.39,1,Canada,3403.39
O00035,2025-09-24,C102,P007,Jeans,Fashion,1454.86,3,USA,4364.58
O00035,2025-09-24,C102,P003,Headphones,Electronics,2634.95,2,USA,5269.9
O00035,2025-09-24,C102,P021,Cricket Bat,Sports,1462.68,2,India,2925.36
O00036,2025-11-13,C104,P005,Smartwatch,Electronics,6822.2,1,UK,6822.2
O00036,2025-11-13,C104,P001,Smartphone,Electronics,17262.95,2,Canada,34525.9
O00036,2025-11-13,C104,P020,Water Bottle,Home & Kitchen,255.47,1,UK,255.47
O00037,2025-05-27,C122,P004,Bluetooth Speaker,Electronics,3706.76,1,Australia,3706.76
O00037,2025-05-27,C122,P002,Laptop,Electronics,55103.96,1,Canada,55103.96
O00037,2025-05-27,C122,P007,Jeans,Fashion,1647.22,2,USA,3294.44
O00037,2025-05-27,C122,P014,Sugar 1kg,Groceries,56.49,1,India,56.49
O00038,2025-09-07,C164,P009,Jacket,Fashion,2956.89,2,USA,5913.78
O00038,2025-09-07,C164,P013,Cooking Oil 1L,Groceries,161.91,3,Australia,485.73
O00038,2025-09-07,C164,P020,Water Bottle,Home & Kitchen,246.77,1,Canada,246.77
O00038,2025-09-07,C164,P014,Sugar 1kg,Groceries,55.92,1,India,55.92
O00038,2025-09-07,C164,P011,Rice 5kg,Groceries,337.5,2,India,675.0
O00039,2025-12-11,C123,P025,Badminton Racket,Sports,780.11,2,India,1560.22
O00040,2025-06-24,C107,P016,Mixer Grinder,Home & Kitchen,3191.75,3,India,9575.25
O00040,2025-06-24,C107,P007,Jeans,Fashion,1434.35,3,USA,4303.049999999999
O00040,2025-06-24,C107,P018,Dinner Set,Home & Kitchen,2861.56,1,UK,2861.56
O00040,2025-06-24,C107,P008,Sneakers,Fashion,2381.52,3,India,7144.5599999999995
O00040,2025-06-24,C107,P003,Headphones,Electronics,2739.91,2,UK,5479.82
O00041,2025-10-21,C178,P009,Jacket,Fashion,3128.03,2,India,6256.06
O00041,2025-10-21,C178,P012,Wheat Flour 5kg,Groceries,348.69,3,Canada,1046.07
O00041,2025-10-21,C178,P004,Bluetooth Speaker,Electronics,3640.32,1,Australia,3640.32
O00041,2025-10-21,C178,P011,Rice 5kg,Groceries,362.8,1,Canada,362.8
O00042,2025-07-11,C194,P008,Sneakers,Fashion,2579.18,2,India,5158.36
O00043,2025-03-06,C143,P004,Bluetooth Speaker,Electronics,3382.18,2,Australia,6764.36
O00043,2025-03-06,C143,P022,Football,Sports,926.09,2,Canada,1852.18
O00043,2025-03-06,C143,P023,Yoga Mat,Sports,706.41,3,USA,2119.23
O00043,2025-03-06,C143,P025,Badminton Racket,Sports,822.55,3,Australia,2467.6499999999996
O00044,2025-04-17,C151,P012,Wheat Flour 5kg,Groceries,312.7,2,Canada,625.4
O00044,2025-04-17,C151,P009,Jacket,Fashion,3209.9,2,India,6419.8
O00044,2025-04-17,C151,P010,Formal Shirt,Fashion,1173.34,2,Canada,2346.68
O00044,2025-04-17,C151,P017,Pressure Cooker,Home & Kitchen,2355.98,2,India,4711.96
O00044,2025-04-17,C151,P001,Smartphone,Electronics,18809.51,1,UK,18809.51
O00045,2025-04-28,C141,P014,Sugar 1kg,Groceries,55.98,2,USA,111.96
O00045,2025-04-28,C141,P025,Badminton Racket,Sports,780.16,1,UK,780.16
O00045,2025-04-28,C141,P018,Dinner Set,Home & Kitchen,2858.61,2,Australia,5717.22
O00045,2025-04-28,C141,P006,T-Shirt,Fashion,683.74,1,Australia,683.74
O00045,2025-04-28,C141,P001,Smartphone,Electronics,17721.66,3,UK,53164.979999999996
O00046,2025-03-19,C138,P012,Wheat Flour 5kg,Groceries,323.26,3,India,969.78
O00046,2025-03-19,C138,P014,Sugar 1kg,Groceries,55.08,3,Canada,165.24
O00046,2025-03-19,C138,P015,Tea 500g,Groceries,226.13,1,USA,226.13
O00046,2025-03-19,C138,P016,Mixer Grinder,Home & Kitchen,3073.57,1,Australia,3073.57
O00046,2025-03-19,C138,P020,Water Bottle,Home & Kitchen,259.73,2,UK,519.46
O00047,2025-02-27,C044,P018,Dinner Set,Home & Kitchen,2977.59,3,India,8932.77
O00047,2025-02-27,C044,P025,Badminton Racket,Sports,871.26,3,Australia,2613.7799999999997
O00047,2025-02-27,C044,P011,Rice 5kg,Groceries,353.46,3,Australia,1060.3799999999999
O00048,2025-09-05,C104,P017,Pressure Cooker,Home & Kitchen,2258.21,1,UK,2258.21
O00048,2025-09-05,C104,P015,Tea 500g,Groceries,223.76,2,Canada,447.52
O00048,2025-09-05,C104,P003,Headphones,Electronics,2568.38,2,UK,5136.76
O00048,2025-09-05,C104,P010,Formal Shirt,Fashion,1229.45,2,Canada,2458.9
O00049,2025-09-01,C101,P001,Smartphone,Electronics,18830.62,2,India,37661.24
O00049,2025-09-01,C101,P011,Rice 5kg,Groceries,339.46,2,India,678.92
O00050,2025-04-05,C164,P010,Formal Shirt,Fashion,1297.7,2,Australia,2595.4
O00051,2025-06-09,C060,P004,Bluetooth Speaker,Electronics,3418.33,3,Canada,10254.99
O00051,2025-06-09,C060,P006,T-Shirt,Fashion,718.49,1,India,718.49
O00051,2025-06-09,C060,P012,Wheat Flour 5kg,Groceries,333.53,1,Canada,333.53
O00051,2025-06-09,C060,P017,Pressure Cooker,Home & Kitchen,2295.89,1,Canada,2295.89
O00051,2025-06-09,C060,P020,Water Bottle,Home & Kitchen,253.48,2,Australia,506.96
O00052,2025-07-10,C116,P004,Bluetooth Speaker,Electronics,3745.81,1,Australia,3745.81
O00052,2025-07-10,C116,P025,Badminton Racket,Sports,773.17,1,Canada,773.17
O00052,2025-07-10,C116,P011,Rice 5kg,Groceries,356.35,3,Canada,1069.0500000000002
O00052,2025-07-10,C116,P017,Pressure Cooker,Home & Kitchen,2139.25,3,Canada,6417.75
O00052,2025-07-10,C116,P018,Dinner Set,Home & Kitchen,2796.36,2,Canada,5592.72
O00053,2025-08-20,C082,P003,Headphones,Electronics,2560.79,3,UK,7682.37
O00053,2025-08-20,C082,P023,Yoga Mat,Sports,731.85,2,India,1463.7
O00053,2025-08-20,C082,P012,Wheat Flour 5kg,Groceries,328.88,3,UK,986.64
O00054,2025-03-28,C069,P006,T-Shirt,Fashion,734.33,1,USA,734.33
O00054,2025-03-28,C069,P021,Cricket Bat,Sports,1443.59,2,Canada,2887.18
O00054,2025-03-28,C069,P002,Laptop,Electronics,54687.42,1,India,54687.42
O00054,2025-03-28,C069,P014,Sugar 1kg,Groceries,55.4,1,USA,55.4
O00054,2025-03-28,C069,P020,Water Bottle,Home & Kitchen,242.05,3,Canada,726.1500000000001
O00055,2025-04-15,C078,P014,Sugar 1kg,Groceries,57.31,2,Canada,114.62
O00056,2025-08-01,C158,P010,Formal Shirt,Fashion,1271.03,1,USA,1271.03
O00056,2025-08-01,C158,P018,Dinner Set,Home & Kitchen,2947.83,1,Canada,2947.83
O00056,2025-08-01,C158,P016,Mixer Grinder,Home & Kitchen,3503.26,3,UK,10509.78
O00056,2025-08-01,C158,P001,Smartphone,Electronics,19369.9,3,Australia,58109.700000000004
O00057,2025-06-20,C022,P020,Water Bottle,Home & Kitchen,265.34,2,UK,530.68
O00057,2025-06-20,C022,P021,Cricket Bat,Sports,1579.77,3,Australia,4739.3099999999995
O00057,2025-06-20,C022,P006,T-Shirt,Fashion,723.19,1,USA,723.19
O00057,2025-06-20,C022,P013,Cooking Oil 1L,Groceries,172.16,2,Canada,344.32
O00057,2025-06-20,C022,P002,Laptop,Electronics,52341.01,1,India,52341.01
O00058,2025-01-20,C162,P001,Smartphone,Electronics,18146.72,1,India,18146.72
O00058,2025-01-20,C162,P012,Wheat Flour 5kg,Groceries,345.96,3,Australia,1037.8799999999999
O00058,2025-01-20,C162,P025,Badminton Racket,Sports,846.81,2,Australia,1693.62
O00059,2025-07-05,C080,P016,Mixer Grinder,Home & Kitchen,3327.15,1,UK,3327.15
O00059,2025-07-05,C080,P009,Jacket,Fashion,3299.26,3,Canada,9897.78
O00059,2025-07-05,C080,P015,Tea 500g,Groceries,230.2,2,India,460.4
O00059,2025-07-05,C080,P023,Yoga Mat,Sports,731.8,2,UK,1463.6
O00060,2025-07-17,C143,P023,Yoga Mat,Sports,715.5,1,Australia,715.5
O00060,2025-07-17,C143,P004,Bluetooth Speaker,Electronics,3817.11,2,Canada,7634.22
O00060,2025-07-17,C143,P015,Tea 500g,Groceries,229.83,2,USA,459.66
O00060,2025-07-17,C143,P012,Wheat Flour 5kg,Groceries,324.97,3,India,974.9100000000001
O00061,2025-11-22,C100,P016,Mixer Grinder,Home & Kitchen,3475.09,2,India,6950.18
O00062,2025-07-15,C021,P017,Pressure Cooker,Home & Kitchen,2410.76,3,Canada,7232.280000000001
O00062,2025-07-15,C021,P023,Yoga Mat,Sports,684.22,1,India,684.22
O00063,2025-04-27,C178,P003,Headphones,Electronics,2548.36,2,UK,5096.72
O00063,2025-04-27,C178,P004,Bluetooth Speaker,Electronics,3718.37,1,Canada,3718.37
O00063,2025-04-27,C178,P018,Dinner Set,Home & Kitchen,2875.25,3,Canada,8625.75
O00063,2025-04-27,C178,P019,Bedsheet,Home & Kitchen,917.0,3,UK,2751.0
O00064,2025-02-18,C063,P005,Smartwatch,Electronics,7339.62,3,India,22018.86
O00064,2025-02-18,C063,P013,Cooking Oil 1L,Groceries,161.13,3,UK,483.39
O00064,2025-02-18,C063,P007,Jeans,Fashion,1642.01,1,Canada,1642.01
O00064,2025-02-18,C063,P011,Rice 5kg,Groceries,337.44,2,Canada,674.88
O00064,2025-02-18,C063,P018,Dinner Set,Home & Kitchen,2902.59,1,Australia,2902.59
O00065,2025-02-24,C072,P009,Jacket,Fashion,2990.92,3,UK,8972.76
O00066,2025-05-17,C032,P024,Dumbbells 5kg,Sports,1208.22,2,UK,2416.44
O00066,2025-05-17,C032,P008,Sneakers,Fashion,2501.32,1,India,2501.32
O00066,2025-05-17,C032,P018,Dinner Set,Home & Kitchen,2887.13,2,UK,5774.26
O00066,2025-05-17,C032,P015,Tea 500g,Groceries,224.55,1,Canada,224.55
O00067,2025-08-01,C108,P023,Yoga Mat,Sports,668.27,3,Australia,2004.81
O00067,2025-08-01,C108,P008,Sneakers,Fashion,2496.91,2,Canada,4993.82
O00068,2025-07-20,C047,P010,Formal Shirt,Fashion,1140.03,3,UK,3420.09
O00068,2025-07-20,C047,P019,Bedsheet,Home & Kitchen,907.62,3,Canada,2722.86
O00068,2025-07-20,C047,P011,Rice 5kg,Groceries,361.2,1,UK,361.2
O00068,2025-07-20,C047,P024,Dumbbells 5kg,Sports,1315.82,3,UK,3947.46
O00069,2025-10-08,C084,P017,Pressure Cooker,Home & Kitchen,2094.09,1,Canada,2094.09
O00069,2025-10-08,C084,P002,Laptop,Electronics,59052.41,1,Australia,59052.41
O00070,2025-11-30,C187,P015,Tea 500g,Groceries,226.33,1,India,226.33
O00071,2025-02-04,C068,P025,Badminton Racket,Sports,821.48,3,Canada,2464.44
O00072,2025-03-17,C004,P011,Rice 5kg,Groceries,365.18,1,UK,365.18
O00072,2025-03-17,C004,P014,Sugar 1kg,Groceries,56.16,1,India,56.16
O00072,2025-03-17,C004,P007,Jeans,Fashion,1545.83,1,India,1545.83
O00072,2025-03-17,C004,P005,Smartwatch,Electronics,6701.97,2,UK,13403.94
O00072,2025-03-17,C004,P023,Yoga Mat,Sports,700.58,1,Australia,700.58
O00073,2025-07-11,C177,P014,Sugar 1kg,Groceries,54.8,1,Australia,54.8
O00073,2025-07-11,C177,P002,Laptop,Electronics,60129.25,2,USA,120258.5
O00074,2025-01-08,C197,P011,Rice 5kg,Groceries,381.94,1,Australia,381.94
O00075,2025-07-21,C105,P021,Cricket Bat,Sports,1525.99,3,Australia,4577.97
O00075,2025-07-21,C105,P008,Sneakers,Fashion,2391.4,3,Australia,7174.200000000001
O00076,2025-02-18,C062,P014,Sugar 1kg,Groceries,52.48,1,Canada,52.48
O00077,2025-06-16,C161,P013,Cooking Oil 1L,Groceries,168.52,3,Australia,505.56000000000006
O00077,2025-06-16,C161,P009,Jacket,Fashion,3068.52,2,UK,6137.04
O00078,2025-03-16,C067,P009,Jacket,Fashion,2979.78,1,Canada,2979.78
O00078,2025-03-16,C067,P008,Sneakers,Fashion,2519.57,1,Canada,2519.57
O00078,2025-03-16,C067,P001,Smartphone,Electronics,17516.19,1,India,17516.19
O00078,2025-03-16,C067,P002,Laptop,Electronics,56719.06,1,Australia,56719.06
O00078,2025-03-16,C067,P025,Badminton Racket,Sports,860.63,3,UK,2581.89
O00079,2025-12-20,C042,P006,T-Shirt,Fashion,713.45,2,Australia,1426.9
O00079,2025-12-20,C042,P018,Dinner Set,Home & Kitchen,2859.73,1,Canada,2859.73
O00079,2025-12-20,C042,P013,Cooking Oil 1L,Groceries,157.47,2,UK,314.94
O00079,2025-12-20,C042,P025,Badminton Racket,Sports,831.89,1,Australia,831.89
O00079,2025-12-20,C042,P010,Formal Shirt,Fashion,1296.59,3,Australia,3889.7699999999995
O00080,2025-01-05,C139,P002,Laptop,Electronics,58237.16,2,Australia,116474.32
O00081,2025-04-02,C082,P002,Laptop,Electronics,54071.15,2,USA,108142.3
O00081,2025-04-02,C082,P005,Smartwatch,Electronics,7372.11,2,UK,14744.22
O00081,2025-04-02,C082,P019,Bedsheet,Home & Kitchen,948.49,3,USA,2845.4700000000003
O00082,2025-05-06,C064,P011,Rice 5kg,Groceries,372.72,1,Canada,372.72
O00082,2025-05-06,C064,P023,Yoga Mat,Sports,729.43,3,India,2188.29
O00082,2025-05-06,C064,P022,Football,Sports,865.48,2,Canada,1730.96
O00082,2025-05-06,C064,P006,T-Shirt,Fashion,667.57,2,UK,1335.14
O00082,2025-05-06,C064,P024,Dumbbells 5kg,Sports,1238.84,3,Canada,3716.5199999999995
O00083,2025-10-17,C173,P004,Bluetooth Speaker,Electronics,3767.17,1,India,3767.17
O00083,2025-10-17,C173,P005,Smartwatch,Electronics,6880.24,1,Australia,6880.24
O00083,2025-10-17,C173,P001,Smartphone,Electronics,17679.5,1,UK,17679.5
O00083,2025-10-17,C173,P015,Tea 500g,Groceries,234.07,1,India,234.07
O00083,2025-10-17,C173,P011,Rice 5kg,Groceries,358.91,3,USA,1076.73
O00084,2025-02-23,C010,P016,Mixer Grinder,Home & Kitchen,3040.06,1,USA,3040.06
O00084,2025-02-23,C010,P006,T-Shirt,Fashion,669.92,1,India,669.92
O00084,2025-02-23,C010,P005,Smartwatch,Electronics,7262.43,3,India,21787.29
O00084,2025-02-23,C010,P022,Football,Sports,888.32,2,India,1776.64
O00085,2025-06-06,C064,P010,Formal Shirt,Fashion,1209.78,1,UK,1209.78
O00085,2025-06-06,C064,P021,Cricket Bat,Sports,1583.37,1,USA,1583.37
O00085,2025-06-06,C064,P007,Jeans,Fashion,1462.56,3,Australia,4387.68
O00085,2025-06-06,C064,P016,Mixer Grinder,Home & Kitchen,3359.86,3,India,10079.58
O00086,2025-12-30,C024,P011,Rice 5kg,Groceries,354.37,1,Australia,354.37
O00086,2025-12-30,C024,P014,Sugar 1kg,Groceries,58.19,3,India,174.57
O00086,2025-12-30,C024,P018,Dinner Set,Home & Kitchen,3025.3,1,India,3025.3
O00087,2025-04-19,C100,P024,Dumbbells 5kg,Sports,1160.07,1,USA,1160.07
O00087,2025-04-19,C100,P010,Formal Shirt,Fashion,1188.17,1,Australia,1188.17
O00087,2025-04-19,C100,P023,Yoga Mat,Sports,666.54,2,Australia,1333.08
O00087,2025-04-19,C100,P021,Cricket Bat,Sports,1500.9,2,India,3001.8
O00087,2025-04-19,C100,P019,Bedsheet,Home & Kitchen,910.84,2,India,1821.68
O00088,2025-04-21,C131,P007,Jeans,Fashion,1428.95,3,Australia,4286.85
O00089,2025-02-02,C153,P002,Laptop,Electronics,59983.37,1,USA,59983.37
O00089,2025-02-02,C153,P023,Yoga Mat,Sports,743.48,1,Canada,743.48
O00090,2025-03-31,C004,P002,Laptop,Electronics,59819.26,3,Canada,179457.78
O00091,2025-02-16,C057,P023,Yoga Mat,Sports,713.15,1,UK,713.15
O00092,2025-04-03,C006,P018,Dinner Set,Home & Kitchen,3046.14,1,USA,3046.14
O00092,2025-04-03,C006,P005,Smartwatch,Electronics,6664.9,2,Canada,13329.8
O00092,2025-04-03,C006,P007,Jeans,Fashion,1589.73,3,Australia,4769.1900000000005
O00092,2025-04-03,C006,P021,Cricket Bat,Sports,1582.12,2,UK,3164.24
O00093,2025-09-04,C080,P019,Bedsheet,Home & Kitchen,909.37,1,Canada,909.37
O00093,2025-09-04,C080,P020,Water Bottle,Home & Kitchen,237.52,1,Canada,237.52
O00093,2025-09-04,C080,P021,Cricket Bat,Sports,1459.61,1,UK,1459.61
O00093,2025-09-04,C080,P006,T-Shirt,Fashion,769.29,2,India,1538.58
O00093,2025-09-04,C080,P003,Headphones,Electronics,2555.58,1,UK,2555.58
O00094,2025-04-27,C148,P006,T-Shirt,Fashion,683.4,1,USA,683.4
O00094,2025-04-27,C148,P008,Sneakers,Fashion,2459.33,1,Canada,2459.33
O00094,2025-04-27,C148,P012,Wheat Flour 5kg,Groceries,338.52,1,UK,338.52
O00095,2025-04-09,C149,P018,Dinner Set,Home & Kitchen,3055.13,2,Australia,6110.26
